area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
54 m²,1,2,Không xác định,Quận Bình Tân,"16,0 m",Chung cư,Sổ hồng,21,900 Triệu VNĐ,,"CH Singapore, tháng 6/2018 nhận nhà, từ 900tr/căn",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ch-singapore-thang-6-2018-nhan-nha-tu-900tr-can-54-6907816
65 m²,2,2,,Quận 12,,Chung cư,Có giấy phép xây dựng,,"1,5 Tỷ VNĐ",,Cơ Hội Cuối Cùng Để Sở Hữu Căn Hộ Và Shophouse,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/co-hoi-cuoi-cung-de-so-huu-can-ho-va-shophouse-voi-7217143
137 m²,2,3,Đông Nam,Quận 2,"30,0 m",Chung cư,Sổ hồng,16,"4,5 Tỷ VNĐ",,Cần Bán Gấp Cc Cao Cấp Imperia Quận 2 3pn Giá Tốt,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-gap-cc-cao-cap-imperia-quan-2-3pn-gia-tot-5099270
54 m²,2,2,Đông Nam,Quận Bình Tân,"40,0 m",Chung cư,Sổ hồng,21,868 Triệu VNĐ,,"Chỉ từ 868 triệu sở hữu căn hộ 2PN, tọa  lạc ngay",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-tu-868-trieu-so-huu-can-ho-2pn-toa-lac-ngay-du-7192760
70 m²,2,2,,Huyện Nhà Bè,"30,0 m",Chung cư,Có giấy phép xây dựng,17,"1,05 Tỷ VNĐ",,"Căn hộ Orchid Park liền kề PMH Quận 7, chiếu khấu",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-orchid-park-lien-ke-pmh-quan-7-chieu-khau-2-6918349
97 m²,2,3,,Quận 2,"120,0 m",Chung cư,Sổ hồng,31,"3,3 Tỷ VNĐ",,"Bán Căn Hộ Centana Thủ Thiêm Sắp Giao Nhà, Căn",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-centana-thu-thiem-sap-giao-nha-can-goc-7255876
72 m²,2,2,,Quận Tân Phú,"20,0 m",Chung cư,Sổ hồng,,"1,4 Tỷ VNĐ",,Căn Hộ Tân Phú - 1.4 tỷ/ Căn 2 phòng Ngủ 66m2 -,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-tan-phu-1-4-ty-can-2-phong-ngu-66m2-lien-ke-6584632
65 m²,1,2,Không xác định,Quận Tân Phú,"16,0 m",Chung cư,Sổ hồng,19,"1,9 Tỷ VNĐ",,"Mở bán căn hộ Carillon 7 liền kề Đầm Sen, cơn sốt",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mo-ban-can-ho-carillon-7-lien-ke-dam-sen-con-sot-c-6971673
104 m²,,3,,Huyện Nhà Bè,,Chung cư,,,"4,1 Tỷ VNĐ",,Chính chủ bán gấp căn hộ 3PN Saigon South,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-ban-gap-can-ho-3pn-saigon-south-residenc-7159478
50 m²,1,2,Đông,Quận 7,"10,0 m",Chung cư,Sổ hồng,1,"1,59 Tỷ VNĐ",,Cần bán căn hộ An Hòa,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-can-ho-an-hoa-1-7224403
55 m²,2,2,,Quận Bình Tân,,Chung cư,Sổ hồng,,820 Triệu VNĐ,,Căn Hộ Bình Tân - Nhận Nhà Ngay - 820tr/ 2PN -,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-binh-tan-nhan-nha-ngay-820tr-2pn-nhan-nha-6-5888681
66 m²,2,2,Đông,Quận 7,"40,0 m",Chung cư,Có giấy phép xây dựng,34,"1,716 Tỷ VNĐ",,"Căn Hộ Cao Cấp Q7 -saigon Riverside, Thiết Kế",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-q7-saigon-riverside-thiet-ke-sang-t-7254172
65 m²,2,2,,Quận 12,,Chung cư,Có giấy phép xây dựng,20,"1,5 Tỷ VNĐ",,"Cực HOT!!! Nhận Đặt Chỗ Chỉ Với 30 triệu/Căn Hộ,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/cuc-hot-nhan-dat-cho-chi-voi-30-trieu-can-ho-2-pn-7194444
65 m²,2,2,Đông,Quận Thủ Đức,"50,0 m",Chung cư,Sổ hồng,19,"1,1 Tỷ VNĐ",,Trả Trước 350 Triệu Nhận Ngay Căn Hộ Singapore,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tra-truoc-350-trieu-nhan-ngay-can-ho-singapore-thu-7228839
50 m²,2,2,Đông Nam,Quận 8,"30,0 m",Chung cư,Có giấy phép xây dựng,22,"1,1 Tỷ VNĐ",,"Căn hộ ven sông mặt tiền Tạ Quang Bửu Q.8, chỉ 1,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-ven-song-mat-tien-ta-quang-buu-q-8-chi-1-1-7239923
