area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
48 m²,2,2,Tây Bắc,Quận Gò Vấp,,Nhà phố,,,"2,55 Tỷ VNĐ",,Bán gấp căn nhà vào bằng 2 hẻm 312 Quang Trung và,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-gap-can-nha-vao-bang-2-hem-312-quang-trung-va-7123739
56 m²,3,3,,Quận Thủ Đức,,Nhà phố,Sổ hồng,3,"2,9 Tỷ VNĐ",,"Tôi chính chủ bán gấp nhà HXH đường Ngô Chí Quốc,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/toi-chinh-chu-ban-gap-nha-hxh-duong-ngo-chi-quoc-s-7159942
80 m²,2,2,Đông Nam,Quận 12,"8,0 m",Nhà phố,Sổ hồng,1,915 Triệu VNĐ,,Nhà 4x12 Mặt Tiềntl 41 2 Pn 2wc Đường 8m Giá 915,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-4x12-mat-tientl-41-2-pn-2wc-duong-8m-gia-915-t-6952108
40 m²,2,3,Đông Bắc,Quận 12,"5,0 m",Nhà phố,Sổ hồng,3,"2,5 Tỷ VNĐ",,"Chính Chủ bán gấp nhà Quận 12, P. Tân Hiệp Chánh,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-ban-gap-nha-quan-12-p-tan-hiep-chanh-tan-7164138
80 m²,0,2,Đông Nam,Quận 12,"6,0 m",Nhà phố,Sổ hồng,1,1 Tỷ VNĐ,,Giá Chỉ 1ty Có Ngay Nhà 4x12 1trệt 1  Lầu Hà Huy,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/gia-chi-1ty-co-ngay-nha-4x12-1tret-1-lau-ha-huy-gi-6947795
80 m²,7,5,,Quận Phú Nhuận,,Nhà phố,Sổ hồng,,15 Tỷ VNĐ,,Chính chủ bán gấp Nhà hai MT ngay chợ nhỏ 107,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-ban-gap-nha-hai-mt-ngay-cho-nho-107-nguy-7198437
403 m²,4,3,,Quận 12,,Biệt thự/ Villa,Sổ đỏ,2,"14,5 Tỷ VNĐ",,"Bán gấp nhà Biệt thự, chính chủ, giá tốt phường",http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/ban-gap-nha-biet-thu-chinh-chu-gia-tot-phuong-an-p-6945319
80 m²,2,3,Không xác định,Quận 12,"6,0 m",Nhà phố,Sổ hồng,2,"1,85 Tỷ VNĐ",,"Chính chủ Bán 2 Căn Nhà SHR 8.5x18m,1 Trệt 1 Lầu",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-ban-2-can-nha-shr-8-5x18m-1-tret-1-lau-n-7020508
120 m²,3,2,,Quận 12,"6,0 m",Nhà phố,Sổ hồng,3,"1,45 Tỷ VNĐ",,"Nhà đúc thật 3 Tấm [4x14m ] 3PN,3WC Thông Nhất-Tô",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-duc-that-3-tam-4x14m-3pn-3wc-thong-nhat-to-ngo-7064985
144 m²,6,5,,Quận Phú Nhuận,"12,0 m",Biệt thự/ Villa,,3,"33,5 Tỷ VNĐ",,"Bán Gấp Biệt Thự Mặt Tiền Hoa Đào, Phường 2, Quận",http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/ban-gap-biet-thu-mat-tien-hoa-dao-phuong-2-quan-ph-7264370
